web-scraper-order,web-scraper-start-url,Category,Category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605353777-622,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,W7 Blending Pro Duo Multi Tasking Beauty Blender Makeup Sponge Set,https://www.banglashoppers.com/w7-blending-pro-duo-multi-tasking-beauty-blender-makeup-sponge-set.html,W7 Blending Pro Duo Multi Tasking Beauty Blender Makeup Sponge Set,850,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/w/7/w7_blending_pro_duo_multi_tasking_makeup_sponge_set_01.jpg,0,0
1605349413-276,https://www.banglashoppers.com/,Kids & Baby Shop,https://www.banglashoppers.com/kids-baby-shop.html,Johnson's Head-To-Toe Wash & Shampoo 300 ml,https://www.banglashoppers.com/johnson-s-head-to-toe-wash-shampoo-300-ml.html,Johnson's Head-To-Toe Wash & Shampoo 300 ml,899,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/j/o/johnson_s_head-to-toe_wash_shampoo_300_ml.jpg,0,0
1605353274-506,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,Neutrogena Ultra Sheer Dry Touch Sunblock SPF 100 - 88ml,https://www.banglashoppers.com/neutrogena-ultra-sheer-dry-touch-sunblock-spf-100-88ml.html,Neutrogena Ultra Sheer Dry Touch Sunblock SPF 100 - 88ml,1499,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/n/e/neutrogena_ultra_sheer_dry_touch_sunblock_spf_100_-_88ml.jpg,0,0
1605353325-518,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,The Body Shop - Mango Softening Body Butter - 200ml,https://www.banglashoppers.com/the-body-shop-mango-softening-body-butter-200ml.html,The Body Shop - Mango Softening Body Butter - 200ml,1550,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/t/h/the_body_shop_-_mango_softening_body_butter_-_200ml_germany_01.jpg,0,0
1605351250-414,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Aveeno Skin Relief Dry Skin Body Wash - Lavender - 975ml,https://www.banglashoppers.com/aveeno-skin-relief-dry-skin-body-wash-lavender-975ml.html,Aveeno Skin Relief Dry Skin Body Wash - Lavender - 975ml,2999,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/l/a/lavender-scented-33-fl-oz.-01.jpg,0,0
1605353317-516,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,Pond’s Men Face Scrub Power Clear 100g,https://www.banglashoppers.com/pond-s-men-face-scrub-power-clear-100g.html,Pond’s Men Face Scrub Power Clear 100g,225,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/p/m/pmpc100_2.png,0,0
1605351623-442,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Lux Soap Bar Velvet Touch 100g,https://www.banglashoppers.com/lux-soap-bar-velvet-touch-100g.html,Lux Soap Bar Velvet Touch 100g,35,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/l/s/lsbvt100h.jpg,0,0
1605353544-569,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Rimmel Stay Matte Pressed Powder - 005 Silky Beige - 14gm,https://www.banglashoppers.com/rimmel-stay-matte-pressed-powder-005-silky-beige-14gm.html,Rimmel Stay Matte Pressed Powder - 005 Silky Beige - 14gm,450,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/r/i/rimmel_stay_matte_pressed_powder_-_005_-_silky_beige.jpg,0,0
1605353464-550,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Revuele 2 In 1 Milk & Cream Makeup Remover For Normal Skin - Intensively Cleans & Tones - 100ml,https://www.banglashoppers.com/revuele-2-in-1-milk-cream-makeup-remover-for-normal-skin-intensively-cleans-tones-100ml.html,Revuele 2 In 1 Milk & Cream Makeup Remover For Normal Skin - Intensively Cleans & Tones - 100ml,475,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/r/e/revuele_2_in_1_milk_cream_makeup_remover_for_normal_skin_-_intensively_cleans_tones_-_100ml.jpg,0,0
1605354313-653,https://www.banglashoppers.com/,Editors Choice,https://www.banglashoppers.com/editors-choice.html,Vollare Intensive Fairness Whitening Night Cream - All Skin Type - Visibly Brightens & Evens Skin Tone - 50ml,https://www.banglashoppers.com/vollare-intensive-fairness-whitening-night-cream-all-skin-type-visibly-brightens-evens-skin-tone-50ml.html,Vollare Intensive Fairness Whitening Night Cream - All Skin Type - Visibly Brightens & Evens Skin Tone - 50ml,950,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/v/o/vollare_intensive_fairness_whitening_night_cream_-_all_skin_type_-_visibly_brightens_evens_skin_tone_-_50ml_1.jpg,0,0
