web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,,,,,,,,
1603717991-271,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Microfiber Car Cleaning Towel 40*40/cm Car Wash Microfiber Towel Super Absorbent - (premium quality),https://www.daraz.com.bd/products/microfiber-car-cleaning-towel-4040cm-car-wash-microfiber-towel-super-absorbent-premium-quality-i148248472-s1074172686.html?search=1,Microfiber Car Cleaning Towel 40*40/cm Car Wash Microfiber Towel Super Absorbent - (premium quality),250,https://static-01.daraz.com.bd/p/b66d7a05e9c43eb5eb508427615119e2.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717336-135,https://www.daraz.com.bd/,Car Audio,https://www.daraz.com.bd/car-audio/,Lepy LP-2051 Class T 2 * 50W 2CH Power Output Home Audio Amplifier-Evton No Ratings,https://www.daraz.com.bd/products/lepy-lp-2051-class-t-2-50w-2ch-power-output-home-audio-amplifier-evton-no-ratings-i137170666-s1059626042.html?search=1,Lepy LP-2051 Class T 2 * 50W 2CH Power Output Home Audio Amplifier-Evton No Ratings,5000,https://static-01.daraz.com.bd/p/d672481ef02ca50b4e2bbd49f5b4c443.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718378-342,https://www.daraz.com.bd/,Interior Accessories,https://www.daraz.com.bd/interior-accessories/,Silicone Keychain,https://www.daraz.com.bd/products/silicone-keychain-i153484380-s1082016484.html?search=1,Silicone Keychain,200,https://static-01.daraz.com.bd/p/8058eca96c13faf4d783ae5a1ad0f461.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717585-186,https://www.daraz.com.bd/,Car Electronics Accessories,https://www.daraz.com.bd/car-electronics-accessories/?spm=a2a0e.searchlist.breadcrumb.4.759170731SA4sH,Accessories Fit For Honda Vezel HR-V 2014-2018 Chrome Door Stereo Speaker Collar,https://www.daraz.com.bd/products/accessories-fit-for-honda-vezel-hr-v-2014-2018-chrome-door-stereo-speaker-collar-i152724361-s1080792153.html?search=1,Accessories Fit For Honda Vezel HR-V 2014-2018 Chrome Door Stereo Speaker Collar,2500,https://static-01.daraz.com.bd/p/4f7e2fa06af075d8a66c133178a26882.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716892-42,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,A Pair 10MM Motorcycle Motorbike Handlebar Side Mirror Motorcycle Mirror Rearview(6Colors),https://www.daraz.com.bd/products/a-pair-10mm-motorcycle-motorbike-handlebar-side-mirror-motorcycle-mirror-rearview6colors-i153324154-s1081734069.html?search=1,A Pair 10MM Motorcycle Motorbike Handlebar Side Mirror Motorcycle Mirror Rearview(6Colors),1192,https://static-01.daraz.com.bd/p/bdef1097803d3f5636a29f73ae0e8f28.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716936-50,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,2X Universal Motorcycle Rearview Mirror + LED Flowing Turn Signal Black For Harley included installed accessories,https://www.daraz.com.bd/products/2x-universal-motorcycle-rearview-mirror-led-flowing-turn-signal-black-for-harley-included-installed-accessories-i153218685-s1081582252.html?search=1,2X Universal Motorcycle Rearview Mirror + LED Flowing Turn Signal Black For Harley included installed accessories,8564,https://static-01.daraz.com.bd/p/5db499cece2d03a27c766aa6aab196a2.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717622-194,https://www.daraz.com.bd/,Car Electronics Accessories,https://www.daraz.com.bd/car-electronics-accessories/?spm=a2a0e.searchlist.breadcrumb.4.759170731SA4sH,16 LEDs 18 Flashing Modes 12V Car Truck Emergency Flasher Dash Strobe Warning Light,https://www.daraz.com.bd/products/16-leds-18-flashing-modes-12v-car-truck-emergency-flasher-dash-strobe-warning-light-i152310107-s1079862611.html?search=1,16 LEDs 18 Flashing Modes 12V Car Truck Emergency Flasher Dash Strobe Warning Light,1500,https://static-01.daraz.com.bd/p/fb33ab5120e89051c6424f0d9e18a238.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716926-48,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,2PCS Left+Right Blue Glass Anti-glare Blue-ray Aluminum Alloy Motorcycle Modified Round Rearview Mirror Motorbike Handlebar Side Mirror,https://www.daraz.com.bd/products/2pcs-leftright-blue-glass-anti-glare-blue-ray-aluminum-alloy-motorcycle-modified-round-rearview-mirror-motorbike-handlebar-side-mirror-i153276655-s1081670393.html?search=1,2PCS Left+Right Blue Glass Anti-glare Blue-ray Aluminum Alloy Motorcycle Modified Round Rearview Mirror Motorbike Handlebar Side Mirror,3033,https://static-01.daraz.com.bd/p/df7ba8b82ec4854e6ab73417a9ad874f.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717564-182,https://www.daraz.com.bd/,Car Electronics Accessories,https://www.daraz.com.bd/car-electronics-accessories/?spm=a2a0e.searchlist.breadcrumb.4.759170731SA4sH,"Car Dashboard Clock, Car Clock Ornaments Auto Watch Air Vents Outlet Clip Mini Decoration Automotive Dashboard Time Display Clock In Car Accessories",https://www.daraz.com.bd/products/car-dashboard-clock-car-clock-ornaments-auto-watch-air-vents-outlet-clip-mini-decoration-automotive-dashboard-time-display-clock-in-car-accessories-i152506482-s1080318800.html?search=1,"Car Dashboard Clock, Car Clock Ornaments Auto Watch Air Vents Outlet Clip Mini Decoration Automotive Dashboard Time Display Clock In Car Accessories",474,https://static-01.daraz.com.bd/p/a6ab0aa4654e36aa596988240eaf9865.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717683-205,https://www.daraz.com.bd/,Interior Vehicle Care,https://www.daraz.com.bd/interior-care/?spm=a2a0e.pdp.breadcrumb.3.7571265e1sc5X8,Car Vacuum Cleaner + Air Pump Car Electrical Appliances Air Pump,https://www.daraz.com.bd/products/car-vacuum-cleaner-air-pump-car-electrical-appliances-air-pump-i131934876-s1052554983.html?search=1,Car Vacuum Cleaner + Air Pump Car Electrical Appliances Air Pump,1900,https://static-01.daraz.com.bd/p/0e49b90ef00cf0f51cd71346bd8d0cb3.jpg_720x720q75.jpg_.webp,0,,,,,,,,
