web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory,subcategory-href,product-link,product-link-href,product-name,product-price,product-image-src,rating
"1602740953-177","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","Huawei FreeBuds Lite","https://phonesellbd.com/shop/huawei-freebuds-lite/","Huawei FreeBuds Lite","৳ 6,990.00","https://phonesellbd.com/wp-content/uploads/2019/08/Huawei_Freebuds_Lite.jpg","There are no reviews yet."
"1602741075-196","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI Y5 PRIME 2GB 16GB (Official)","https://phonesellbd.com/shop/huawei-y5-prime-2gb-16gb-official/","HUAWEI Y5 PRIME 2GB 16GB (Official)","৳ 8,590.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei-Y5-Prime.jpg","There are no reviews yet."
"1602741297-232","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","Samsung Galaxy S20 Ultra 5G 12GB 128GB","https://phonesellbd.com/shop/samsung-galaxy-s20-ultra-5g-12gb-128gb/","Samsung Galaxy S20 Ultra 5G 12GB 128GB","৳ 99,990.00","https://phonesellbd.com/wp-content/uploads/2020/07/galaxy-s20-ultra.jpg","There are no reviews yet."
"1602741354-242","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY A30 (Official)","https://phonesellbd.com/shop/samsung-galaxy-a30-4gb-64gb/","SAMSUNG GALAXY A30 (Official)","৳ 22,990.00","https://phonesellbd.com/wp-content/uploads/2019/05/samsung_galaxy_a30.jpg","There are no reviews yet."
"1602741344-240","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY A50 6GB 128GB","https://phonesellbd.com/shop/samsung-galaxy-a50-6gb-128gb/","SAMSUNG GALAXY A50 6GB 128GB","৳ 23,990.00","https://phonesellbd.com/wp-content/uploads/2019/05/Galaxy_A50.jpg","There are no reviews yet."
"1602740681-140","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Nokia Feature Phones","https://phonesellbd.com/product-category/feature-phones/nokia-feature-phones/","Nokia 5310 (2020)","https://phonesellbd.com/shop/nokia-5310-2020/","Nokia 5310 (2020)","৳ 4,090.00","","There are no reviews yet."
"1602740808-158","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung Samratwatch","https://phonesellbd.com/product-category/smartwatch/samsung-smartwatch/","SAMSUNG GALAXY WATCH ACTIVE","https://phonesellbd.com/shop/samsung-galaxy-watch-active/","SAMSUNG GALAXY WATCH ACTIVE","৳ 18,990.00","https://phonesellbd.com/wp-content/uploads/2019/07/Galaxy_watch_Activ.jpg","There are no reviews yet."
"1602741265-227","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oneplus","https://phonesellbd.com/product-category/smartphone/oneplus/","ONEPLUS 7T 8GB 256GB","https://phonesellbd.com/shop/oneplus-7t/","ONEPLUS 7T 8GB 256GB","৳ 52,990.00","https://phonesellbd.com/wp-content/uploads/2019/12/Oneplus-7T.jpg","There are no reviews yet."
"1602741104-202","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI P30 8GB 128GB (Official)","https://phonesellbd.com/shop/huawei-p30-8gb-128gb/","HUAWEI P30 8GB 128GB (Official)","৳ 52,990.00","https://phonesellbd.com/wp-content/uploads/2019/05/Huawei_p30_pro_1.jpg","There are no reviews yet."
"1602741234-222","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oneplus","https://phonesellbd.com/product-category/smartphone/oneplus/","OnePlus 8 Pro 12GB 256GB","https://phonesellbd.com/shop/oneplus-8-pro-12gb-256gb/","OnePlus 8 Pro 12GB 256GB","৳ 79,990.00","https://phonesellbd.com/wp-content/uploads/2020/07/Oneplus-8pro-1.jpg","There are no reviews yet."
"1602740991-183","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","Plextone G25 Gaming Earphones","https://phonesellbd.com/shop/plextone-g25-gaming-earphones/","Plextone G25 Gaming Earphones","৳ 1,280.00","https://phonesellbd.com/wp-content/uploads/2020/07/Plextone-G25-1.jpg","There are no reviews yet."
"1602741061-193","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI Y7 PRO 3GB 32GB (Official)","https://phonesellbd.com/shop/huawei-y7-pro-3gb-32gb-official/","HUAWEI Y7 PRO 3GB 32GB (Official)","৳ 16,990.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei-Y7-Pro.jpg","There are no reviews yet."
"1602740750-151","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Apple Watch","https://phonesellbd.com/product-category/smartwatch/apple-watch/","APPLE WATCH SERIES 5 Nike Plus","https://phonesellbd.com/shop/apple-watch-series-5-nike-plus/","APPLE WATCH SERIES 5 Nike Plus","৳ 43,490.00","https://phonesellbd.com/wp-content/uploads/2019/11/apple-watch-serise4-44mm-nike-plus-3.jpg","There are no reviews yet."
"1602741323-236","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY NOTE 10Plus 12GB 256GB (Official)","https://phonesellbd.com/shop/samsung-galaxy-note-10plussingle-sim/","SAMSUNG GALAXY NOTE 10Plus 12GB 256GB (Official)","৳ 110,990.00","https://phonesellbd.com/wp-content/uploads/2019/08/Galaxy-Note-10.jpg","There are no reviews yet."
"1602741130-206","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oppo","https://phonesellbd.com/product-category/smartphone/oppo/","Oppo F17 4 8GB 128GB (Official)","https://phonesellbd.com/shop/oppo-f17-4-8gb-128gb-official/","Oppo F17 4 8GB 128GB (Official)","৳ 27,990.00","https://phonesellbd.com/wp-content/uploads/2020/09/oppo-f17-4-8gb-128gb-3.jpg","There are no reviews yet."
"1602740866-164","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Mobile Case & Cover","https://phonesellbd.com/product-category/mobile-accessories/mobile-case-cover/","Ferrari Cover For Iphone","https://phonesellbd.com/shop/ferrari-cover-for-iphone/","Ferrari Cover For Iphone","৳ 2,190.00","https://phonesellbd.com/wp-content/uploads/2019/09/Ferrari-Cover-For-Iphone-2.jpg","There are no reviews yet."
"1602741170-212","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Google","https://phonesellbd.com/product-category/smartphone/google/","GOOGLE PIXEL3 128GB","https://phonesellbd.com/shop/google-pixel3-128gb/","GOOGLE PIXEL3 128GB","৳ 72,000.00","https://phonesellbd.com/wp-content/uploads/2019/06/Google-Pixel-3.jpg","There are no reviews yet."
"1602741317-235","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY NOTE 10Plus 12GB 256GB(4G)","https://phonesellbd.com/shop/samsung-galaxy-note-10plusdual-sim/","SAMSUNG GALAXY NOTE 10Plus 12GB 256GB(4G)","৳ 79,990.00","https://phonesellbd.com/wp-content/uploads/2019/08/Galaxy-Note10-Plus-2.jpg","There are no reviews yet."
"1602741190-216","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Google","https://phonesellbd.com/product-category/smartphone/google/","GOOGLE PIXEL 3 64GB","https://phonesellbd.com/shop/google-pixel-3-64gb/","GOOGLE PIXEL 3 64GB","৳ 62,000.00","https://phonesellbd.com/wp-content/uploads/2019/06/Google-Pixel-3_1.jpg","There are no reviews yet."
"1602741339-239","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","SAMSUNG GALAXY A51 6GB 128GB (Official)","https://phonesellbd.com/shop/samsung-galaxy-a51-6gb-128gb-official/","SAMSUNG GALAXY A51 6GB 128GB (Official)","৳ 27,490.00","https://phonesellbd.com/wp-content/uploads/2020/02/Galaxy-A51.jpg","There are no reviews yet."
"1602740904-169","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","Samsung Galaxy Buds Plus","https://phonesellbd.com/shop/samsung-galaxy-buds-plus/","Samsung Galaxy Buds Plus","৳ 13,990.00","https://phonesellbd.com/wp-content/uploads/2020/03/galaxy-buds-plus.jpg","There are no reviews yet."
"1602740689-142","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Nokia Feature Phones","https://phonesellbd.com/product-category/feature-phones/nokia-feature-phones/","NOKIA 106 (2018)","https://phonesellbd.com/shop/nokia-106-2018/","NOKIA 106 (2018)","৳ 1,590.00","","There are no reviews yet."
"1602741387-246","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","XIAOMI MI 9T 6GB 64GB","https://phonesellbd.com/shop/xiaomi-mi-9t-6gb-64gb/","XIAOMI MI 9T 6GB 64GB","৳ 27,990.00","","There are no reviews yet."
"1602741379-245","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","XIAOMI MI 9T PRO 6GB 128GB","https://phonesellbd.com/shop/xiaomi-mi-9t-pro/","XIAOMI MI 9T PRO 6GB 128GB","৳ 34,490.00","https://phonesellbd.com/wp-content/uploads/2019/10/Mi-9T-Pro-2.jpg","There are no reviews yet."
"1602741066-194","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI Y6S 3GB 32GB (Official)","https://phonesellbd.com/shop/huawei-y6s-3gb-32gb-official/","HUAWEI Y6S 3GB 32GB (Official)","৳ 12,990.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei-Y6S.jpg","There are no reviews yet."
"1602740997-184","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","PLEXTONE G20 In-ear Earphone","https://phonesellbd.com/shop/plextone-g20-in-ear-earphone/","PLEXTONE G20 In-ear Earphone","৳ 1,080.00","https://phonesellbd.com/wp-content/uploads/2020/07/Plextone-G20.jpg","There are no reviews yet."
"1602741148-209","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oppo","https://phonesellbd.com/product-category/smartphone/oppo/","Oppo A31-2020 4GB 128GB (Official)","https://phonesellbd.com/shop/oppo-a31-2020-4gb-128gb-official/","Oppo A31-2020 4GB 128GB (Official)","৳ 16,990.00","https://phonesellbd.com/wp-content/uploads/2020/06/Oppo-a31.jpg","There are no reviews yet."
"1602741520-260","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Apple","https://phonesellbd.com/product-category/smartphone/apple/","Apple IPhone 11 Pro 64GB","https://phonesellbd.com/shop/apple-iphone-11-pro-64gb/","Apple IPhone 11 Pro 64GB","৳ 97,990.00","","There are no reviews yet."
"1602741029-189","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","JBL Tune T110 In-Ear Headphone","https://phonesellbd.com/shop/jbl-tune-t110-in-ear-headphone/","JBL Tune T110 In-Ear Headphone","৳ 1,350.00","https://phonesellbd.com/wp-content/uploads/2020/08/JBL-Tune-T110-1.jpg","There are no reviews yet."
"1602740737-150","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Others Smartwatch","https://phonesellbd.com/product-category/smartwatch/others-smartwatch/","AMAZFIT GTR 47mm Smart Watch","https://phonesellbd.com/shop/amazfit-gtr-47mm-smart-watch/","AMAZFIT GTR 47mm Smart Watch","৳ 12,990.00","https://phonesellbd.com/wp-content/uploads/2019/10/Amazfit-GTR.jpg","There are no reviews yet."
"1602741239-223","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oneplus","https://phonesellbd.com/product-category/smartphone/oneplus/","OnePlus 8 8GB 128GB","https://phonesellbd.com/shop/oneplus-8-8gb-128gb-2/","OnePlus 8 8GB 128GB","৳ 62,990.00","https://phonesellbd.com/wp-content/uploads/2020/07/oneplus-8-12gb-256gb-1.jpg","There are no reviews yet."
"1602741002-185","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","Plextone G2 Led Lighting Gaming Wireless Earphone","https://phonesellbd.com/shop/plextone-g2-led-lighting-gaming-wireless-earphone/","Plextone G2 Led Lighting Gaming Wireless Earphone","৳ 1,790.00","https://phonesellbd.com/wp-content/uploads/2020/07/Plextone-G2.jpg","There are no reviews yet."
"1602740795-156","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung Samratwatch","https://phonesellbd.com/product-category/smartwatch/samsung-smartwatch/","Samsung Gear S3 Frontier","https://phonesellbd.com/shop/samsung-gear-s3-frontier-smart-watch/","Samsung Gear S3 Frontier","৳ 19,990.00","https://phonesellbd.com/wp-content/uploads/2019/07/Samsung_Gear_s3_Frontier.jpg","There are no reviews yet."
"1602741434-251","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","Redmi Note 9 Pro Max 6GB 128GB","https://phonesellbd.com/shop/redmi-note-9-pro-max-6gb-128gb/","Redmi Note 9 Pro Max 6GB 128GB","৳ 25,990.00","","There are no reviews yet."
"1602741334-238","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","Samsung Galaxy A71 8GB 128GB","https://phonesellbd.com/shop/samsung-galaxy-a71-8gb-128gb/","Samsung Galaxy A71 8GB 128GB","৳ 36,990.00","https://phonesellbd.com/wp-content/uploads/2020/09/galaxy-a71-2.jpg","There are no reviews yet."
"1602740733-149","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Others Smartwatch","https://phonesellbd.com/product-category/smartwatch/others-smartwatch/","AMAZFIT GTS 1.65 inch AMOLED Display","https://phonesellbd.com/shop/amazfit-gts-1-65-inch-amoled-display/","AMAZFIT GTS 1.65 inch AMOLED Display","৳ 13,490.00","https://phonesellbd.com/wp-content/uploads/2020/01/Amazfit-GTS.png","There are no reviews yet."
"1602741394-247","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","XIAOMI MI 9T 6GB 128GB","https://phonesellbd.com/shop/xiaomi-mi-9t-6gb-128gb/","XIAOMI MI 9T 6GB 128GB","৳ 30,490.00","","There are no reviews yet."
"1602740910-170","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","Remax 195HB Headphone","https://phonesellbd.com/shop/remax-195hb-headphone/","Remax 195HB Headphone","৳ 2,290.00","https://phonesellbd.com/wp-content/uploads/2019/12/Remax-195HB.jpg","There are no reviews yet."
"1602741047-192","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","BASEUS Encok S11 Neckband In-ear Bluetooth Sports Earphone","https://phonesellbd.com/shop/baseus-encok-s11-neckband-in-ear-bluetooth-sports-earphone/","BASEUS Encok S11 Neckband In-ear Bluetooth Sports Earphone","৳ 1,450.00","https://phonesellbd.com/wp-content/uploads/2019/05/Baseus_s11.jpg","There are no reviews yet."
"1602741135-207","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oppo","https://phonesellbd.com/product-category/smartphone/oppo/","Oppo A92 8GB 128GB (Offcial)","https://phonesellbd.com/shop/oppo-a92-8gb-128gb-offcial/","Oppo A92 8GB 128GB (Offcial)","৳ 20,990.00","https://phonesellbd.com/wp-content/uploads/2020/09/oppo-a92-8gb-128gb-offcial-2.jpg","There are no reviews yet."
"1602740726-148","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Others Smartwatch","https://phonesellbd.com/product-category/smartwatch/others-smartwatch/","Microwear W34 Smartwatch","https://phonesellbd.com/shop/microwear-w34-smartwatch/","Microwear W34 Smartwatch","৳ 1,850.00","https://phonesellbd.com/wp-content/uploads/2019/11/Microwear-W34-2.jpg","There are no reviews yet."
"1602741085-198","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI Y5 2GB 32GB (Official)","https://phonesellbd.com/shop/huawei-y5-2gb-32gb-official/","HUAWEI Y5 2GB 32GB (Official)","৳ 10,990.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei-Y5-1.jpg","There are no reviews yet."
"1602741349-241","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Samsung","https://phonesellbd.com/product-category/smartphone/samsung/","Samsung Galaxy A31 6GB 128GB (Official)","https://phonesellbd.com/shop/samsung-galaxy-a31-6gb-128gb-official/","Samsung Galaxy A31 6GB 128GB (Official)","৳ 23,990.00","https://phonesellbd.com/wp-content/uploads/2020/10/samsung-galaxy-a31-6gb-128gb.jpg","There are no reviews yet."
"1602740685-141","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Nokia Feature Phones","https://phonesellbd.com/product-category/feature-phones/nokia-feature-phones/","Nokia 220 (2019)","https://phonesellbd.com/shop/nokia-220-2019/","Nokia 220 (2019)","৳ 3,990.00","","There are no reviews yet."
