web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1605178410-248,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Victoria's Secret Wild One Body Mist 250 ml for Women,https://www.pickaboo.com/victoria-s-secret-wild-one-body-mist-250-ml-for-women.html,Victoria's Secret Wild One Body Mist 250 ml for Women,1450,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/s/vs-10_2.jpg,0
1605179127-333,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Samsung Galaxy M01 Core 2GB/32GB,https://www.pickaboo.com/samsung-galaxy-m01-core-2gb-32gb.html,Samsung Galaxy M01 Core 2GB/32GB,"7,299
",https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/s/a/samsung-galaxy-m01-core-2gb-32gb-new-content-image.jpg,4.8
1605179082-329,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Huawei Matepad T (4G) 2GB/32GB,https://www.pickaboo.com/huawei-matepad-t-4g-2gb-32gb.html,Huawei Matepad T (4G) 2GB/32GB,13999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/u/huawei-matepad-t.jpg,4.7
1605178645-282,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Haylou LS05 Smart Watch Global Version - Black,https://www.pickaboo.com/haylou-ls05-smart-watch-global-version-black.html,Haylou LS05 Smart Watch Global Version - Black,2550,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/l/s/ls05.jpg,4.7
1605179198-340,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Samsung Galaxy S20 FE (Pre-Book),https://www.pickaboo.com/samsung-galaxy-s20-fe-fan-edition.html,Samsung Galaxy S20 FE (Pre-Book),54999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/s/a/samsung-galaxy-s20-fe-new-content-image.jpg,0
1605178500-261,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Xiaomi TV Box S Global Version - Black,https://www.pickaboo.com/xiaomi-tv-box-s-global-version.html,Xiaomi TV Box S Global Version - Black,5190,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/x/i/xiaomi-mi-tv-box-222.jpg,4.8
1605178594-275,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Asus TUF VG259Q 25 Inch 144Hz Adaptive-Sync IPS Gaming Monitor,https://www.pickaboo.com/asus-tuf-vg259q-25-inch-144hz-adaptive-sync-ips-gaming-monitor.html,Asus TUF VG259Q 25 Inch 144Hz Adaptive-Sync IPS Gaming Monitor,29450,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/a/s/asus-tuf-vg259q-25-inch-144hz-adaptive-sync-ips-gaming-monitor.jpg,0
1605178562-270,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Kemei KM-9020 Trimmer,https://www.pickaboo.com/kemei-km-9020-trimmer.html,Kemei KM-9020 Trimmer,549,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/k/m/km-9020-silver.jpg,0
1605178736-292,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Digital Kitchen Weight Scale - White,https://www.pickaboo.com/digital-kitchen-weight-scale-white.html,Digital Kitchen Weight Scale - White,670,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/w/e/we-1.jpg,0
1605179178-337,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Huawei Matepad T (WIFI) 2GB/16GB,https://www.pickaboo.com/huawei-matepad-t-wifi-2gb-16gb.html,Huawei Matepad T (WIFI) 2GB/16GB,9999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/u/huawei-matepad-t-wifi-1.jpg,5
1605178769-298,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,National View King Chef Blender and Mixer Grinder 2000 Watt,https://www.pickaboo.com/national-view-king-chef-blender-and-mixer-grinder-2000-watt.html,National View King Chef Blender and Mixer Grinder 2000 Watt,6900,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/b/l/blender-1_1.jpg,0
1605178524-264,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Livpure Bolt Copper Water Purifier,https://www.pickaboo.com/livpure-bolt-copper-water-purifier.html,Livpure Bolt Copper Water Purifier,23500,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/l/i/livpure-bolt-copper-water-purifier.jpg,0
1605178790-302,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Instant Hot Water Shower,https://www.pickaboo.com/instant-hot-water-shower.html,Instant Hot Water Shower,950,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/o/hot-1.jpg,0
1605178449-254,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Skmei SK1370GR Fashion Wristwatch for Men,https://www.pickaboo.com/skmei-sk1370gr-fashion-wristwatch-for-men.html,Skmei SK1370GR Fashion Wristwatch for Men,1282,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/1/3/1304-green.jpg,0
1605178341-240,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Pritech PR-1675 3 In 1 Electric Shavers For Men,https://www.pickaboo.com/pritech-pr-1675-3-in-1-electric-shavers-for-men.html,Pritech PR-1675 3 In 1 Electric Shavers For Men,2199,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/1/6/1675-1.jpg,0
1605178378-245,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Victoria's Secret Love Spell Body Mist 250 ml for Women,https://www.pickaboo.com/victoria-s-secret-love-spell-body-mist-250-ml-for-women.html,Victoria's Secret Love Spell Body Mist 250 ml for Women,1450,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/s/vs-8.jpg,0
1605179204-341,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,vivo V20 SE with Free vivo Gift Box,https://www.pickaboo.com/vivo-v20-se.html,vivo V20 SE with Free vivo Gift Box,26990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/v/i/vivo-v20-se-new-content-image.jpg,0
1605178607-277,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,TP-Link Archer C6 AC1200 Wireless MU-MIMO Gigabit Router,https://www.pickaboo.com/tp-link-archer-c6-ac1200-wireless-mu-mimo-gigabit-router.html,TP-Link Archer C6 AC1200 Wireless MU-MIMO Gigabit Router,3490,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/t/p/tp-link-archer-c6-ac1200-wireless-mu-mimo-gigabit-router.jpg,5
